candidate_name,artifact_path,config_path,checkpoint_path,training_script,input_h5ad,feature_count,feature_order_status,edge_csv,edge_status,latent_dim,hidden_dim,n_layers,seed,training_epochs,stage_a_b_comparable,pathology_head_comparable,donor_fold_comparable,evaluation_status,architecture_status,input_data_status,compatibility_status,recommendation,mismatch_details
microglia_pvm_jepa_ema_expanded_at8_finetune/jepa_pathology_finetuned,results/models/microglia_pvm_jepa_ema_expanded_at8_finetune/jepa_pathology_finetuned.pt,not_available,results/models/microglia_pvm_jepa_ema_expanded_at8_finetune/jepa_pathology_finetuned.pt,scripts/train_jepa_snrna.py,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,2957,exact_match,not_applicable,absent_expression_only,unknown,unknown,not_applicable,7,30,no_stage_b_not_applicable_to_v1,no_different_architecture,yes_same_h5ad_and_genes,can_extract_embeddings_but_not_with_graph_jepa_evaluator,v1_mlp_no_graph,exact_match,partially_compatible_historical_context_only,use_as_historical_context_but_train_fresh_no_graph_ablation_with_matched_architecture,"architecture mismatch: v1 MLPEncoder (hidden=unknown) vs planned FastGraphGeneJEPA (hidden=128, n_layers=2); v1 has no Stage B equivalent; planned ablation requires matched Stage A+B; pathology head not directly comparable: v1 MLPEncoder output space differs from v2 GraphGeneEncoder output space"
microglia_pvm_jepa_ema_expanded_balanced_e40/gene_jepa,results/models/microglia_pvm_jepa_ema_expanded_balanced_e40/gene_jepa.pt,not_available,results/models/microglia_pvm_jepa_ema_expanded_balanced_e40/gene_jepa.pt,scripts/train_jepa_snrna.py,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,2957,exact_match,not_applicable,absent_expression_only,128,512,not_applicable,7,40,no_stage_b_not_applicable_to_v1,no_different_architecture,yes_same_h5ad_and_genes,can_extract_embeddings_but_not_with_graph_jepa_evaluator,v1_mlp_no_graph,exact_match,partially_compatible_historical_context_only,use_as_historical_context_but_train_fresh_no_graph_ablation_with_matched_architecture,"architecture mismatch: v1 MLPEncoder (hidden=512) vs planned FastGraphGeneJEPA (hidden=128, n_layers=2); hidden_dim mismatch: v1=512 vs planned=128; v1 has no Stage B equivalent; planned ablation requires matched Stage A+B; pathology head not directly comparable: v1 MLPEncoder output space differs from v2 GraphGeneEncoder output space"
microglia_pvm_jepa_ema_var_expanded_balanced_e40/gene_jepa,results/models/microglia_pvm_jepa_ema_var_expanded_balanced_e40/gene_jepa.pt,not_available,results/models/microglia_pvm_jepa_ema_var_expanded_balanced_e40/gene_jepa.pt,scripts/train_jepa_snrna.py,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,2957,exact_match,not_applicable,absent_expression_only,128,512,not_applicable,7,40,no_stage_b_not_applicable_to_v1,no_different_architecture,yes_same_h5ad_and_genes,can_extract_embeddings_but_not_with_graph_jepa_evaluator,v1_mlp_no_graph,exact_match,partially_compatible_historical_context_only,use_as_historical_context_but_train_fresh_no_graph_ablation_with_matched_architecture,"architecture mismatch: v1 MLPEncoder (hidden=512) vs planned FastGraphGeneJEPA (hidden=128, n_layers=2); hidden_dim mismatch: v1=512 vs planned=128; v1 has no Stage B equivalent; planned ablation requires matched Stage A+B; pathology head not directly comparable: v1 MLPEncoder output space differs from v2 GraphGeneEncoder output space"
microglia_pvm_jepa_expanded_modules_at8_finetune/jepa_pathology_finetuned,results/models/microglia_pvm_jepa_expanded_modules_at8_finetune/jepa_pathology_finetuned.pt,not_available,results/models/microglia_pvm_jepa_expanded_modules_at8_finetune/jepa_pathology_finetuned.pt,scripts/train_jepa_snrna.py,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,2957,exact_match,not_applicable,absent_expression_only,unknown,unknown,not_applicable,7,30,no_stage_b_not_applicable_to_v1,no_different_architecture,yes_same_h5ad_and_genes,can_extract_embeddings_but_not_with_graph_jepa_evaluator,v1_mlp_no_graph,exact_match,partially_compatible_historical_context_only,use_as_historical_context_but_train_fresh_no_graph_ablation_with_matched_architecture,"architecture mismatch: v1 MLPEncoder (hidden=unknown) vs planned FastGraphGeneJEPA (hidden=128, n_layers=2); v1 has no Stage B equivalent; planned ablation requires matched Stage A+B; pathology head not directly comparable: v1 MLPEncoder output space differs from v2 GraphGeneEncoder output space"
microglia_pvm_jepa_expanded_modules_balanced_e40/gene_jepa,results/models/microglia_pvm_jepa_expanded_modules_balanced_e40/gene_jepa.pt,not_available,results/models/microglia_pvm_jepa_expanded_modules_balanced_e40/gene_jepa.pt,scripts/train_jepa_snrna.py,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,2957,exact_match,not_applicable,absent_expression_only,128,512,not_applicable,7,40,no_stage_b_not_applicable_to_v1,no_different_architecture,yes_same_h5ad_and_genes,can_extract_embeddings_but_not_with_graph_jepa_evaluator,v1_mlp_no_graph,exact_match,partially_compatible_historical_context_only,use_as_historical_context_but_train_fresh_no_graph_ablation_with_matched_architecture,"architecture mismatch: v1 MLPEncoder (hidden=512) vs planned FastGraphGeneJEPA (hidden=128, n_layers=2); hidden_dim mismatch: v1=512 vs planned=128; v1 has no Stage B equivalent; planned ablation requires matched Stage A+B; pathology head not directly comparable: v1 MLPEncoder output space differs from v2 GraphGeneEncoder output space"
microglia_pvm_jepa_expanded_modules_balanced_e80/gene_jepa,results/models/microglia_pvm_jepa_expanded_modules_balanced_e80/gene_jepa.pt,not_available,results/models/microglia_pvm_jepa_expanded_modules_balanced_e80/gene_jepa.pt,scripts/train_jepa_snrna.py,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,2957,exact_match,not_applicable,absent_expression_only,128,512,not_applicable,7,40,no_stage_b_not_applicable_to_v1,no_different_architecture,yes_same_h5ad_and_genes,can_extract_embeddings_but_not_with_graph_jepa_evaluator,v1_mlp_no_graph,exact_match,partially_compatible_historical_context_only,use_as_historical_context_but_train_fresh_no_graph_ablation_with_matched_architecture,"architecture mismatch: v1 MLPEncoder (hidden=512) vs planned FastGraphGeneJEPA (hidden=128, n_layers=2); hidden_dim mismatch: v1=512 vs planned=128; v1 has no Stage B equivalent; planned ablation requires matched Stage A+B; pathology head not directly comparable: v1 MLPEncoder output space differs from v2 GraphGeneEncoder output space"
microglia_pvm_jepa_10k/gene_jepa,results/models/microglia_pvm_jepa_10k/gene_jepa.pt,not_available,results/models/microglia_pvm_jepa_10k/gene_jepa.pt,scripts/train_jepa_snrna.py,data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k.h5ad,3000,"mismatch_first_five=['GNB1', 'SKI', 'CAMTA1', 'SLC2A5', 'MIR34AHG']",not_applicable,absent_expression_only,128,512,not_applicable,7,20,no_stage_b_not_applicable_to_v1,no_different_architecture,unknown_or_mismatched,unknown,v1_mlp_no_graph,mismatch,not_compatible_due_to_feature_or_preprocessing_mismatch,train_fresh_no_graph_ablation,"input H5AD mismatch: data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k.h5ad vs data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad; feature count mismatch: 3000 vs 2957; architecture mismatch: v1 MLPEncoder (hidden=512) vs planned FastGraphGeneJEPA (hidden=128, n_layers=2); hidden_dim mismatch: v1=512 vs planned=128; v1 has no Stage B equivalent; planned ablation requires matched Stage A+B; pathology head not directly comparable: v1 MLPEncoder output space differs from v2 GraphGeneEncoder output space"
microglia_pvm_jepa_10k_mixed_masking/gene_jepa,results/models/microglia_pvm_jepa_10k_mixed_masking/gene_jepa.pt,not_available,results/models/microglia_pvm_jepa_10k_mixed_masking/gene_jepa.pt,scripts/train_jepa_snrna.py,data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k.h5ad,3000,"mismatch_first_five=['GNB1', 'SKI', 'CAMTA1', 'SLC2A5', 'MIR34AHG']",not_applicable,absent_expression_only,128,512,not_applicable,7,20,no_stage_b_not_applicable_to_v1,no_different_architecture,unknown_or_mismatched,unknown,v1_mlp_no_graph,mismatch,not_compatible_due_to_feature_or_preprocessing_mismatch,train_fresh_no_graph_ablation,"input H5AD mismatch: data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k.h5ad vs data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad; feature count mismatch: 3000 vs 2957; architecture mismatch: v1 MLPEncoder (hidden=512) vs planned FastGraphGeneJEPA (hidden=128, n_layers=2); hidden_dim mismatch: v1=512 vs planned=128; v1 has no Stage B equivalent; planned ablation requires matched Stage A+B; pathology head not directly comparable: v1 MLPEncoder output space differs from v2 GraphGeneEncoder output space"
microglia_pvm_jepa_10k_module_preserved_mixed/gene_jepa,results/models/microglia_pvm_jepa_10k_module_preserved_mixed/gene_jepa.pt,not_available,results/models/microglia_pvm_jepa_10k_module_preserved_mixed/gene_jepa.pt,scripts/train_jepa_snrna.py,data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k_module_preserved.h5ad,2977,exact_match,not_applicable,absent_expression_only,128,512,not_applicable,7,20,no_stage_b_not_applicable_to_v1,no_different_architecture,unknown_or_mismatched,unknown,v1_mlp_no_graph,mismatch,not_compatible_due_to_feature_or_preprocessing_mismatch,train_fresh_no_graph_ablation,"input H5AD mismatch: data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k_module_preserved.h5ad vs data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad; feature count mismatch: 2977 vs 2957; architecture mismatch: v1 MLPEncoder (hidden=512) vs planned FastGraphGeneJEPA (hidden=128, n_layers=2); hidden_dim mismatch: v1=512 vs planned=128; v1 has no Stage B equivalent; planned ablation requires matched Stage A+B; pathology head not directly comparable: v1 MLPEncoder output space differs from v2 GraphGeneEncoder output space"
microglia_pvm_jepa_all_module_preserved_mixed_e100/gene_jepa,results/models/microglia_pvm_jepa_all_module_preserved_mixed_e100/gene_jepa.pt,not_available,results/models/microglia_pvm_jepa_all_module_preserved_mixed_e100/gene_jepa.pt,scripts/train_jepa_snrna.py,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_module_preserved.h5ad,2977,exact_match,not_applicable,absent_expression_only,128,512,not_applicable,7,40,no_stage_b_not_applicable_to_v1,no_different_architecture,unknown_or_mismatched,unknown,v1_mlp_no_graph,mismatch,not_compatible_due_to_feature_or_preprocessing_mismatch,train_fresh_no_graph_ablation,"input H5AD mismatch: data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_module_preserved.h5ad vs data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad; feature count mismatch: 2977 vs 2957; architecture mismatch: v1 MLPEncoder (hidden=512) vs planned FastGraphGeneJEPA (hidden=128, n_layers=2); hidden_dim mismatch: v1=512 vs planned=128; v1 has no Stage B equivalent; planned ablation requires matched Stage A+B; pathology head not directly comparable: v1 MLPEncoder output space differs from v2 GraphGeneEncoder output space"
microglia_pvm_jepa_all_module_preserved_mixed_e60/gene_jepa,results/models/microglia_pvm_jepa_all_module_preserved_mixed_e60/gene_jepa.pt,not_available,results/models/microglia_pvm_jepa_all_module_preserved_mixed_e60/gene_jepa.pt,scripts/train_jepa_snrna.py,data\processed\sea_ad_mtg_microglia_pvm_all_hvg3k_module_preserved.h5ad,2977,exact_match,not_applicable,absent_expression_only,128,512,not_applicable,7,60,no_stage_b_not_applicable_to_v1,no_different_architecture,unknown_or_mismatched,unknown,v1_mlp_no_graph,mismatch,not_compatible_due_to_feature_or_preprocessing_mismatch,train_fresh_no_graph_ablation,"input H5AD mismatch: data\processed\sea_ad_mtg_microglia_pvm_all_hvg3k_module_preserved.h5ad vs data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad; feature count mismatch: 2977 vs 2957; architecture mismatch: v1 MLPEncoder (hidden=512) vs planned FastGraphGeneJEPA (hidden=128, n_layers=2); hidden_dim mismatch: v1=512 vs planned=128; v1 has no Stage B equivalent; planned ablation requires matched Stage A+B; pathology head not directly comparable: v1 MLPEncoder output space differs from v2 GraphGeneEncoder output space"
pathology_heads_stage_b_lp/best_pathology_head,results/models/pathology_heads_stage_b_lp/best_pathology_head.pt,not_available,results/models/pathology_heads_stage_b_lp/best_pathology_head.pt,unknown,unknown,unknown,not_recoverable,not_applicable,absent_expression_only,unknown,unknown,not_applicable,unknown,unknown,no_stage_b_not_applicable_to_v1,no_different_architecture,unknown_or_mismatched,unknown,v1_mlp_no_graph,unknown,not_enough_metadata_to_use_as_ablation,train_fresh_no_graph_ablation,"input H5AD unknown; feature count unknown; architecture mismatch: v1 MLPEncoder (hidden=unknown) vs planned FastGraphGeneJEPA (hidden=128, n_layers=2); v1 has no Stage B equivalent; planned ablation requires matched Stage A+B; pathology head not directly comparable: v1 MLPEncoder output space differs from v2 GraphGeneEncoder output space"
v2_2_stage_b_adversarial/stage_b_adversarial,results/models/v2_2_stage_b_adversarial/stage_b_adversarial.pt,not_available,results/models/v2_2_stage_b_adversarial/stage_b_adversarial.pt,unknown,unknown,2957,exact_match,not_applicable,absent_expression_only,unknown,unknown,not_applicable,unknown,unknown,no_stage_b_not_applicable_to_v1,potentially_yes,unknown_or_mismatched,can_run_with_current_scripts,v2_graph,unknown,not_enough_metadata_to_use_as_ablation,train_fresh_no_graph_ablation,input H5AD unknown; v1 has no Stage B equivalent; planned ablation requires matched Stage A+B
v2_2_stage_b_adversarial_full_w05/stage_b_adversarial,results/models/v2_2_stage_b_adversarial_full_w05/stage_b_adversarial.pt,not_available,results/models/v2_2_stage_b_adversarial_full_w05/stage_b_adversarial.pt,unknown,unknown,2957,exact_match,not_applicable,absent_expression_only,unknown,unknown,not_applicable,unknown,unknown,no_stage_b_not_applicable_to_v1,potentially_yes,unknown_or_mismatched,can_run_with_current_scripts,v2_graph,unknown,not_enough_metadata_to_use_as_ablation,train_fresh_no_graph_ablation,input H5AD unknown; v1 has no Stage B equivalent; planned ablation requires matched Stage A+B
v2_2_stage_b_adversarial_stateaware_smoke/stage_b_adversarial,results/models/v2_2_stage_b_adversarial_stateaware_smoke/stage_b_adversarial.pt,not_available,results/models/v2_2_stage_b_adversarial_stateaware_smoke/stage_b_adversarial.pt,unknown,unknown,2957,exact_match,not_applicable,absent_expression_only,unknown,unknown,not_applicable,unknown,unknown,no_stage_b_not_applicable_to_v1,potentially_yes,unknown_or_mismatched,can_run_with_current_scripts,v2_graph,unknown,not_enough_metadata_to_use_as_ablation,train_fresh_no_graph_ablation,input H5AD unknown; v1 has no Stage B equivalent; planned ablation requires matched Stage A+B
v2_2_stage_b_adversarial_ttur_w02/stage_b_adversarial,results/models/v2_2_stage_b_adversarial_ttur_w02/stage_b_adversarial.pt,not_available,results/models/v2_2_stage_b_adversarial_ttur_w02/stage_b_adversarial.pt,unknown,unknown,2957,exact_match,not_applicable,absent_expression_only,unknown,unknown,not_applicable,unknown,unknown,no_stage_b_not_applicable_to_v1,potentially_yes,unknown_or_mismatched,can_run_with_current_scripts,v2_graph,unknown,not_enough_metadata_to_use_as_ablation,train_fresh_no_graph_ablation,input H5AD unknown; v1 has no Stage B equivalent; planned ablation requires matched Stage A+B
graph_jepa_gpu_probe/graph_jepa,results/models/graph_jepa_gpu_probe/graph_jepa.pt,not_available,results/models/graph_jepa_gpu_probe/graph_jepa.pt,scripts/train_graph_jepa_stage_a_fast.py,data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad,2957,exact_match,results\tables\v2_graph_string_edges_t700.csv,real_graph,128,128,2,7,1,potentially_yes_if_stage_b_rerun,potentially_yes,unknown_or_mismatched,can_run_with_current_scripts,v2_graph,mismatch,not_a_no_graph_model,not_applicable_uses_graph_edges,"input H5AD mismatch: data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad vs data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad; uses real or shuffled graph edges, not expression-only"
graph_jepa_stage_a_string_t700_e5/graph_jepa,results/models/graph_jepa_stage_a_string_t700_e5/graph_jepa.pt,not_available,results/models/graph_jepa_stage_a_string_t700_e5/graph_jepa.pt,scripts/train_graph_jepa_stage_a_fast.py,data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad,2957,exact_match,results\tables\v2_graph_string_edges_t700.csv,real_graph,128,128,2,7,5,potentially_yes_if_stage_b_rerun,potentially_yes,unknown_or_mismatched,can_run_with_current_scripts,v2_graph,mismatch,not_a_no_graph_model,not_applicable_uses_graph_edges,"input H5AD mismatch: data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad vs data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad; uses real or shuffled graph edges, not expression-only"
graph_jepa_stage_a_string_t700_rawvar_e30/graph_jepa,results/models/graph_jepa_stage_a_string_t700_rawvar_e30/graph_jepa.pt,not_available,results/models/graph_jepa_stage_a_string_t700_rawvar_e30/graph_jepa.pt,scripts/train_graph_jepa_stage_a_fast.py,data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad,2957,exact_match,results\tables\v2_graph_string_edges_t700.csv,real_graph,128,128,2,7,30,potentially_yes_if_stage_b_rerun,potentially_yes,unknown_or_mismatched,can_run_with_current_scripts,v2_graph,mismatch,not_a_no_graph_model,not_applicable_uses_graph_edges,"input H5AD mismatch: data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad vs data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad; uses real or shuffled graph edges, not expression-only"
graph_jepa_stage_a_string_t700_rawvar_e30_b64/graph_jepa,results/models/graph_jepa_stage_a_string_t700_rawvar_e30_b64/graph_jepa.pt,not_available,results/models/graph_jepa_stage_a_string_t700_rawvar_e30_b64/graph_jepa.pt,scripts/train_graph_jepa_stage_a_fast.py,data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad,2957,exact_match,results\tables\v2_graph_string_edges_t700.csv,real_graph,128,128,2,7,30,potentially_yes_if_stage_b_rerun,potentially_yes,unknown_or_mismatched,can_run_with_current_scripts,v2_graph,mismatch,not_a_no_graph_model,not_applicable_uses_graph_edges,"input H5AD mismatch: data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad vs data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad; uses real or shuffled graph edges, not expression-only"
graph_jepa_stage_a_string_t700_rawvar_e5/graph_jepa,results/models/graph_jepa_stage_a_string_t700_rawvar_e5/graph_jepa.pt,not_available,results/models/graph_jepa_stage_a_string_t700_rawvar_e5/graph_jepa.pt,scripts/train_graph_jepa_stage_a_fast.py,data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad,2957,exact_match,results\tables\v2_graph_string_edges_t700.csv,real_graph,128,128,2,7,5,potentially_yes_if_stage_b_rerun,potentially_yes,unknown_or_mismatched,can_run_with_current_scripts,v2_graph,mismatch,not_a_no_graph_model,not_applicable_uses_graph_edges,"input H5AD mismatch: data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad vs data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad; uses real or shuffled graph edges, not expression-only"
graph_jepa_stage_a_string_t700_sched_e30_b64/graph_jepa,results/models/graph_jepa_stage_a_string_t700_sched_e30_b64/graph_jepa.pt,not_available,results/models/graph_jepa_stage_a_string_t700_sched_e30_b64/graph_jepa.pt,scripts/train_graph_jepa_stage_a_fast.py,data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad,2957,exact_match,results\tables\v2_graph_string_edges_t700.csv,real_graph,128,128,2,7,30,potentially_yes_if_stage_b_rerun,potentially_yes,unknown_or_mismatched,can_run_with_current_scripts,v2_graph,mismatch,not_a_no_graph_model,not_applicable_uses_graph_edges,"input H5AD mismatch: data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad vs data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad; uses real or shuffled graph edges, not expression-only"
