gene,graph_name,weighted_degree,hub_capped_degree,in_graph,randomized_graph
APOE,context_specific_stage72b_grn,10.288152734778121,10.288152734778121,True,
TREM2,context_specific_stage72b_grn,7.061439628482972,7.061439628482972,True,
LPL,context_specific_stage72b_grn,0.0,0.0,False,
APOC1,context_specific_stage72b_grn,8.169669762641899,8.169669762641899,True,
TYROBP,context_specific_stage72b_grn,9.240954592363261,9.240954592363261,True,
CST7,context_specific_stage72b_grn,0.0,0.0,False,
LGALS3,context_specific_stage72b_grn,0.0,0.0,False,
CTSD,context_specific_stage72b_grn,0.0,0.0,False,
CTSB,context_specific_stage72b_grn,8.481790505675955,8.481790505675955,True,
LAPTM5,context_specific_stage72b_grn,11.069133126934984,11.069133126934984,True,
NPC2,context_specific_stage72b_grn,10.582843137254901,10.582843137254901,True,
LAMP2,context_specific_stage72b_grn,8.540567595459237,8.540567595459237,True,
CTSS,context_specific_stage72b_grn,10.42222394220846,10.42222394220846,True,
GBA,context_specific_stage72b_grn,0.0,0.0,False,
PSAP,context_specific_stage72b_grn,9.923240454076367,9.923240454076367,True,
C1QA,context_specific_stage72b_grn,9.586186790505677,9.586186790505677,True,
C1QB,context_specific_stage72b_grn,11.038163054695563,11.038163054695563,True,
C1QC,context_specific_stage72b_grn,10.314138286893705,10.314138286893705,True,
FCER1G,context_specific_stage72b_grn,11.437007223942208,11.437007223942208,True,
AIF1,context_specific_stage72b_grn,4.074256965944272,4.074256965944272,True,
CD74,context_specific_stage72b_grn,6.132528379772962,6.132528379772962,True,
HLA-DRA,context_specific_stage72b_grn,5.910593395252837,5.910593395252837,True,
HLA-DRB1,context_specific_stage72b_grn,1.542841962805836,1.542841962805836,True,
HLA-DPA1,context_specific_stage72b_grn,6.706057791537667,6.706057791537667,True,
HLA-DPB1,context_specific_stage72b_grn,3.8022239422084625,3.8022239422084625,True,
B2M,context_specific_stage72b_grn,9.954324045407636,9.954324045407636,True,
NFKBIA,context_specific_stage72b_grn,8.347781217750258,8.347781217750258,True,
IRF8,context_specific_stage72b_grn,12.887992776057791,12.887992776057791,True,
STAT1,context_specific_stage72b_grn,18.179845201238397,17.213837461300308,True,
IFITM3,context_specific_stage72b_grn,0.0,0.0,False,
IL27RA,context_specific_stage72b_grn,0.0,0.0,False,
SLC6A12,context_specific_stage72b_grn,0.0,0.0,False,
BSG,context_specific_stage72b_grn,9.449613003095976,9.449613003095976,True,
HMOX1,context_specific_stage72b_grn,9.940356037151702,9.940356037151702,True,
NQO1,context_specific_stage72b_grn,0.0,0.0,False,
SOD2,context_specific_stage72b_grn,0.0,0.0,False,
SOD1,context_specific_stage72b_grn,0.0,0.0,False,
GPX4,context_specific_stage72b_grn,2.8364138286893703,2.8364138286893703,True,
PRDX1,context_specific_stage72b_grn,9.508395252837975,9.508395252837975,True,
TXNIP,context_specific_stage72b_grn,8.209406604747162,8.209406604747162,True,
AP1G1,context_specific_stage72b_grn,11.359680082559338,11.359680082559338,True,
BACH1,context_specific_stage72b_grn,16.413178534571724,16.413178534571724,True,
CEBPA,context_specific_stage72b_grn,7.550275702768659,7.550275702768659,True,
CEBPB,context_specific_stage72b_grn,17.182894736842105,17.182894736842105,True,
ELF1,context_specific_stage72b_grn,19.547626167416524,17.213837461300308,True,
ETS1,context_specific_stage72b_grn,4.146501547987615,4.146501547987615,True,
FOS,context_specific_stage72b_grn,1.0981174579675674,1.0981174579675674,True,
JUN,context_specific_stage72b_grn,4.408581011351908,4.408581011351908,True,
KLF4,context_specific_stage72b_grn,0.0,0.0,False,
MAF,context_specific_stage72b_grn,8.363823529411766,8.363823529411766,True,
MAFB,context_specific_stage72b_grn,11.640407636738907,11.640407636738907,True,
MITF,context_specific_stage72b_grn,10.08061919504644,10.08061919504644,True,
MSR1,context_specific_stage72b_grn,7.336785345717233,7.336785345717233,True,
NFE2L2,context_specific_stage72b_grn,16.974917440660477,16.974917440660477,True,
NFKB1,context_specific_stage72b_grn,18.348642930856553,17.213837461300308,True,
NRF1,context_specific_stage72b_grn,18.743581011351907,17.213837461300308,True,
