source,target,score,source_idx,target_idx
AATF,NOL10,999,2494,292
ABI1,CYFIP1,999,1650,2243
ABI1,EPS8,999,1650,1913
ABI1,NCKAP1L,999,1650,1956
ABI1,WASF2,999,1650,46
ABI2,CYFIP1,999,494,2243
ABI2,NCKAP1L,999,494,1956
ABI2,WASF2,999,494,46
ABL1,CRK,999,1618,2436
ABL1,GRB2,999,1618,2550
ACTB,SMARCA4,999,1248,2660
ACTR2,ACTR3,999,364,409
ACTR2,ARPC1B,999,364,1329
ACTR2,ARPC2,999,364,511
ACTR2,ARPC3,999,364,2020
ACTR2,WASL,999,364,1357
ACTR3,ARPC1B,999,409,1329
ACTR3,ARPC2,999,409,511
ACTR3,ARPC3,999,409,2020
ACTR3,WASL,999,409,1357
ADGRL3,TENM2,999,807,1036
ADIPOR2,APPL1,999,1892,617
AEBP2,JARID2,999,1916,1077
AEBP2,RBBP4,999,1916,59
AEBP2,SUZ12,999,1916,2483
AFDN,TJP1,999,1240,2247
AFF1,AFF4,999,826,1001
AFF1,ELL,999,826,2672
AFF1,ELL2,999,826,972
AFF4,CCNT2,999,1001,425
AFF4,ELL,999,1001,2672
AFF4,ELL2,999,1001,972
AHCTF1,NUP160,999,286,1812
AKAP9,KCNQ1,999,1313,1767
AMBRA1,PIK3C3,999,1805,2605
ANAPC10,ANAPC16,999,872,1685
ANAPC10,ANAPC5,999,872,2034
ANAPC10,CDC27,999,872,2516
ANAPC16,ANAPC5,999,1685,2034
ANAPC16,CDC27,999,1685,2516
ANAPC5,CDC27,999,2034,2516
ANKRD36,ANKRD36C,999,392,391
AP1B1,AP1G1,999,2842,2413
AP2A2,AP2B1,999,1764,2488
APBA1,CASK,999,1550,2894
APC,CSNK1A1,999,983,1023
APC,CTNNB1,999,983,583
APC,GSK3B,999,983,650
APOC1,APOC2,999,2700,2701
APOC1,APOE,999,2700,2699
APOC2,APOE,999,2701,2699
APOE,APP,999,2699,2796
APOE,CLU,999,2699,1425
APOE,LRP1,999,2699,1962
APP,PSEN1,999,2796,2197
APP,SORL1,999,2796,1879
APPL1,RAB5A,999,617,557
ARHGAP35,RASA1,999,2703,965
ARHGEF1,GNA12,999,2697,1243
ARHGEF1,GNA13,999,2697,2543
ARHGEF11,GNA12,999,194,1243
ARHGEF11,RHOA,999,194,601
ARHGEF12,GNA12,999,1878,1243
ARHGEF12,GNA13,999,1878,2543
ARHGEF12,RHOA,999,1878,601
ARHGEF2,RHOA,999,193,601
ARHGEF6,PARVB,999,2933,2861
ARHGEF7,CDC42,999,2127,31
ARHGEF7,PAK2,999,2127,750
ARID1A,PBRM1,999,45,608
ARID1A,SMARCA2,999,45,1516
ARID1A,SMARCA4,999,45,2660
ARID1A,SMARCC1,999,45,596
ARID2,PBRM1,999,1940,608
ARID2,SMARCA4,999,1940,2660
ARNT,EP300,999,178,2857
ARNT,HIF1A,999,178,2181
ARNTL,CLOCK,999,1781,805
ARPC1B,ARPC2,999,1329,511
ARPC1B,ARPC3,999,1329,2020
ARPC1B,WASL,999,1329,1357
ARPC2,ARPC3,999,511,2020
ARRB2,GRK2,999,2446,1827
ASCC1,ASCC3,999,1684,1168
ASCC3,TRIP4,999,1168,2304
ATF2,JUN,999,467,101
ATG10,ATG7,999,962,549
ATG16L2,ATG5,999,1835,1173
ATG5,ATG7,999,1173,549
ATG5,MAVS,999,1173,2725
ATM,ATR,999,1863,692
ATP6V0A1,ATP6V1A,999,2506,646
ATP6V0A1,ATP6V1C1,999,2506,1484
ATP6V0A1,ATP6V1H,999,2506,1446
ATP6V1A,ATP6V1B2,999,646,1413
ATP6V1A,ATP6V1C1,999,646,1484
ATP6V1A,ATP6V1H,999,646,1446
ATP6V1B2,ATP6V1C1,999,1413,1484
ATP6V1B2,ATP6V1H,999,1413,1446
ATP6V1C1,ATP6V1H,999,1484,1446
ATXN7,SUPT20H,999,622,2068
ATXN7,TRRAP,999,622,1327
ATXN7,USP22,999,622,2468
AXL,GAS6,999,2694,2133
B2M,FCGRT,999,2274,2710
B2M,HLA-A,999,2274,1091
B2M,HLA-B,999,2274,1096
B2M,HLA-C,999,2274,1095
B2M,HLA-E,999,2274,1092
B2M,LILRB1,999,2274,2716
B2M,PDIA3,999,2274,2269
BABAM2,UIMC1,999,306,1047
BCL2,BCL2L1,999,2627,2750
BCL2,NLRP1,999,2627,2449
BCL6,NCOR1,999,739,2461
BCL6,NCOR2,999,739,2041
BIN1,RIN3,999,416,2222
BLNK,GRB2,999,1724,2550
BLNK,LYN,999,1724,1448
BLNK,PLCG2,999,1724,2421
BLNK,SYK,999,1724,1564
BLNK,VAV1,999,1724,2650
BMPR1A,BMPR2,999,1703,491
BRAF,MAP2K1,999,1376,2309
BRAF,RAF1,999,1376,552
BRAF,YWHAZ,999,1376,1480
BRD4,NSD3,999,2665,1431
BTRC,CTNNB1,999,1730,583
BTRC,CUL1,999,1730,1381
BTRC,GSK3B,999,1730,650
BTRC,NFKBIA,999,1730,2152
C1QA,C1QB,999,32,34
C1QA,C1QC,999,32,33
C1QB,C1QC,999,34,33
C3,CD46,999,2649,247
C3,CFH,999,2649,234
C3,CR1,999,2649,246
C3,ITGAM,999,2649,2387
C3,VSIG4,999,2649,2904
C4A,C4B,999,1101,1102
C4A,CR1,999,1101,246
C4B,CR1,999,1102,246
C9orf72,WDR41,999,1536,952
CAB39,STRADA,999,526,2538
CANX,PDIA3,999,1053,2269
CAPRIN1,G3BP1,999,1798,1029
CAPZA1,CAPZB,999,156,26
CAPZA2,CAPZB,999,1352,26
CARD11,MALT1,999,1244,2621
CBFB,CUL5,999,2406,1862
CBFB,RUNX2,999,2406,1135
CBL,CRK,999,1877,2436
CBL,GRB2,999,1877,2550
CBL,PIK3R1,999,1877,941
CBL,RAPGEF1,999,1877,1621
CBL,SH3KBP1,999,1877,2880
CCL2,CCL5,999,2486,2490
CCL2,CCR1,999,2486,592
CCL2,CCR5,999,2486,593
CCL2,CXCL8,999,2486,814
CCL3,CCR1,999,2491,592
CCL3,CCR5,999,2491,593
CCL4,CCR1,999,2492,592
CCL4,CCR5,999,2492,593
CCL5,CCR1,999,2490,592
CCL5,CCR5,999,2490,593
CCL5,CXCL10,999,2490,816
CCM2,KRIT1,999,1288,1314
CCM2,MAP3K3,999,1288,2537
CCND2,CDK6,999,1894,1318
CCND2,CDKN1A,999,1894,1122
CCND3,CDK6,999,1128,1318
CCND3,CDKN1A,999,1128,1122
CCNH,MNAT1,999,966,2179
CCR5,CD4,999,593,1900
CCR5,CXCL10,999,593,816
CD47,SIRPA,999,645,2721
CD74,HLA-DRA,999,1026,1103
CDC42,IQGAP1,999,31,2341
CDC42,IQGAP2,999,31,950
CDC42,ITSN1,999,31,2808
CDC42,PAK1,999,31,1844
CDC42,PIK3CB,999,31,685
CDC42,TNK2,999,31,748
CDC42,VAV1,999,31,2650
CDC42,WASL,999,31,1357
CDK19,MED13,999,1181,2533
CDK6,CDKN1A,999,1318,1122
CDK6,CDKN2A,999,1318,1534
CDK8,MED13,999,2055,2533
CDK8,MED14,999,2055,2891
CDKN2A,MDM2,999,1534,1976
CHCHD3,MICOS10,999,1367,27
CLEC7A,SYK,999,1906,1564
CLIP1,IQGAP1,999,2037,2341
CLTA,CLTC,999,1544,2528
CNOT1,CNOT2,999,2404,1980
CNOT1,CNOT4,999,2404,1369
CNOT1,CNOT6L,999,2404,819
CNOT1,DDX6,999,2404,1875
CNOT2,CNOT4,999,1980,1369
CNOT2,CNOT6L,999,1980,819
CNOT4,UBE2D2,999,1369,1010
COPA,COPB1,999,197,1784
CREB1,CREBBP,999,501,2352
CREB1,EP300,999,501,2857
CREBBP,CTNNB1,999,2352,583
CREBBP,EP300,999,2352,2857
CREBBP,HIF1A,999,2352,2181
CREBBP,KAT2B,999,2352,558
CREBBP,NCOA1,999,2352,300
CREBBP,NCOA3,999,2352,2774
CREBBP,STAT1,999,2352,481
CRK,RAPGEF1,999,2436,1621
CSNK1A1,CTNNB1,999,1023,583
CSNK1A1,GSK3B,999,1023,650
CSTF3,FIP1L1,999,1795,802
CTNNA1,CTNNB1,999,1008,583
CTNNB1,CTNND1,999,583,1814
CTNNB1,EP300,999,583,2857
CTNNB1,GSK3B,999,583,650
CTNNB1,IQGAP1,999,583,2341
CTNNB1,PSEN1,999,583,2197
CTNNB1,SMAD3,999,583,2310
CTNNB1,TCF4,999,583,2617
CTNNB1,TCF7L2,999,583,1742
CTSD,LAMP1,999,1765,2132
CTTNBP2NL,STRN3,999,154,2142
CUL1,DCUN1D1,999,1381,726
CUL1,FBXL17,999,1381,979
CUL1,FBXL5,999,1381,775
CUL1,FBXW11,999,1381,1039
CUL1,FBXW7,999,1381,876
CUL1,NFKBIA,999,1381,2152
CUL3,KEAP1,999,515,2658
CUL3,SPOP,999,515,2521
CUL3,SPOPL,999,515,431
CUL4A,DDB2,999,2131,1808
CYBA,CYBB,999,2428,2890
CYFIP1,FXR1,999,2243,724
CYFIP1,NCKAP1L,999,2243,1956
CYFIP1,WASF2,999,2243,46
CYLD,TNFRSF1A,999,2395,1897
DCP1A,DCP2,999,611,984
DCP1A,DDX6,999,611,1875
DCP1A,XRN1,999,611,691
DCP2,DDX6,999,984,1875
DCP2,XRN1,999,984,691
DDX39B,SARNP,999,1097,1957
DDX39B,THOC1,999,1097,2573
DDX39B,THOC2,999,1097,2928
DDX3X,TBK1,999,2893,1970
DDX46,SF3B1,999,1004,484
DDX6,LSM14A,999,1875,2680
DEPTOR,MAPKAP1,999,1496,1610
DEPTOR,RICTOR,999,1496,920
DEPTOR,RPTOR,999,1496,2566
DHX9,HNRNPU,999,224,283
DNM1L,MFF,999,1932,518
DYNC1H1,DYNC1I2,999,2234,461
EEA1,RAB5A,999,1995,557
EEFSEC,SECISBP2,999,671,1562
EGLN1,HIF1A,999,270,2181
EIF3A,EIF3E,999,1748,1488
EIF3A,EIF3H,999,1748,1491
EIF3E,EIF3H,999,1488,1491
EIF4A1,EIF4B,999,2451,1953
EIF4A1,EIF4E,999,2451,843
EIF4A1,PABPC1,999,2451,1479
EIF4A1,PDCD4,999,2451,1739
EIF4A2,EIF4B,999,738,1953
EIF4A2,EIF4E,999,738,843
EIF4A2,PABPC1,999,738,1479
EIF4A2,PDCD4,999,738,1739
EIF4B,EIF4E,999,1953,843
EIF4B,PABPC1,999,1953,1479
EIF4E,PABPC1,999,843,1479
ELP2,ELP3,999,2603,1426
ELP3,ELP4,999,1426,1793
EP300,HIF1A,999,2857,2181
EP300,JUN,999,2857,101
EP300,KAT2B,999,2857,558
EP300,MDM2,999,2857,1976
EP300,NCOA1,999,2857,300
EP300,NCOA3,999,2857,2774
EP300,SMAD3,999,2857,2310
EP300,STAT3,999,2857,2505
EP300,YY1,999,2857,2231
EP400,TRRAP,999,2045,1327
EPN2,EPS15,999,2464,92
EPS8,SOS1,999,1913,322
ERBB4,GRB2,999,506,2550
ERBB4,NRG3,999,506,1700
ESR1,FOS,999,1223,2201
ESR1,HSP90AA1,999,1223,2235
ESR1,IGF1R,999,1223,2344
ESR1,JUN,999,1223,101
ESR1,NCOA1,999,1223,300
ESR1,NCOA2,999,1223,1462
ESR1,NCOA3,999,1223,2774
ESR1,NCOR1,999,1223,2461
ESR1,NRIP1,999,1223,2791
EXOC1,EXOC2,999,806,1059
EXOC1,EXOC4,999,806,1368
EXOC1,EXOC5,999,806,2172
EXOC1,EXOC6,999,806,1718
EXOC2,EXOC4,999,1059,1368
EXOC2,EXOC5,999,1059,2172
EXOC2,EXOC6,999,1059,1718
EXOC4,EXOC5,999,1368,2172
EXOC4,EXOC6,999,1368,1718
EXOC5,EXOC6,999,2172,1718
EXOC6,RAB11A,999,1718,2308
EXT1,EXT2,999,1492,1802
FAF1,NPLOC4,999,91,2568
FAF1,UBXN7,999,91,749
FBXL5,IREB2,999,775,2329
FIG4,PIKFYVE,999,1180,503
FIP1L1,WDR33,999,802,419
FOS,JUN,999,2201,101
FRS2,GRB2,999,1979,2550
FTH1,FTL,999,1819,2706
G3BP1,USP10,999,1029,2424
GAB1,GRB2,999,871,2550
GAB2,GRB2,999,1846,2550
GADD45A,MAP3K4,999,110,1237
GAPDH,PGK1,999,1898,2914
GAPDH,RPL13A,999,1898,2708
GAS6,MERTK,999,2133,405
GATAD2A,MBD2,999,2674,2616
GATAD2A,RBBP4,999,2674,59
GATAD2B,RBBP4,999,184,59
GCC2,RAB6A,999,401,1837
GNAI2,GNB1,999,605,1
GNAI3,GNB1,999,147,1
GNAS,GNB1,999,2784,1
GNB1,GNG2,999,1,2165
GNB1,GNG7,999,1,2644
GNB4,GNG2,999,722,2165
GNB4,GNG7,999,722,2644
GOSR1,SCFD1,999,2479,2141
