path,filename,stage_or_source,filesize_bytes,artifact_class,readable,n_sample_rows,n_columns,columns_sample,has_cell_identifier,has_donor_identifier,has_embedding_columns,has_score_columns
results/tables/stage_c_epoch_010_latent_space_umap_coordinates.csv,stage_c_epoch_010_latent_space_umap_coordinates.csv,stage_c,19224,coordinate,True,50,9,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter,False,True,False,False
results/tables/stage_c_epoch_010_sea_ad_microglia_pvm_all_coordinates.csv,stage_c_epoch_010_sea_ad_microglia_pvm_all_coordinates.csv,stage_c,58569011,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
results/tables/stage_c_epoch_015_latent_space_evaluation_metrics.csv,stage_c_epoch_015_latent_space_evaluation_metrics.csv,stage_c,1498,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_epoch_015_latent_space_umap_coordinates.csv,stage_c_epoch_015_latent_space_umap_coordinates.csv,stage_c,19236,coordinate,True,50,9,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter,False,True,False,False
results/tables/stage_c_epoch_015_sea_ad_microglia_pvm_all_coordinates.csv,stage_c_epoch_015_sea_ad_microglia_pvm_all_coordinates.csv,stage_c,58748110,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
results/tables/stage_c_fine_01_r007_cov0005_epoch_005_latent_metrics.csv,stage_c_fine_01_r007_cov0005_epoch_005_latent_metrics.csv,stage_c,1499,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_fine_02_r007_cov001_epoch_005_latent_metrics.csv,stage_c_fine_02_r007_cov001_epoch_005_latent_metrics.csv,stage_c,1501,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_fine_03_r010_cov0005_epoch_005_latent_metrics.csv,stage_c_fine_03_r010_cov0005_epoch_005_latent_metrics.csv,stage_c,1498,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_fine_04_r010_cov002_epoch_005_latent_metrics.csv,stage_c_fine_04_r010_cov002_epoch_005_latent_metrics.csv,stage_c,1504,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_fine_05_r012_cov001_epoch_005_latent_metrics.csv,stage_c_fine_05_r012_cov001_epoch_005_latent_metrics.csv,stage_c,1494,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
