dataset_id,dataset_name,candidate_gene,mechanism_id,target,present_in_dataset,test_performed,test_type,effect_size,p_value,direction,claim_level_allowed,clean_validation_claim_allowed,allowed_claim_language,prohibited_claim_language,q_value,support_tier
gse138852,gse138852,BSG,M4,6e10/Aβ,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,SLC6A12,M4,6e10/Aβ,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,IL27RA,M4,6e10/Aβ,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,NFKBIA,M4,6e10/Aβ,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,CTSD,M1,6e10/Aβ,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,CTSD,M2,6e10/Aβ,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,BSG,M4,AT8,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,SLC6A12,M4,AT8,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,IL27RA,M4,AT8,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,NFKBIA,M4,AT8,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,CTSD,M1,AT8,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,CTSD,M2,AT8,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,TREM2,M2,GFAP,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,CST7,M2,GFAP,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,APOE,M2,GFAP,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,LGALS3,M2,GFAP,True,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,CTSD,M1,GFAP,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,CTSD,M2,GFAP,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
gse138852,gse138852,HMOX1,M3,Iba1,False,False,not_testable,0.0,1.0,not_testable,,False,external support / conditional validation support only; frozen Stage 36E candidates require further validation,definitive clean external validation; causal validation; therapeutic target; gene ablation; disease-modifying target,1.0,not_testable
