seed,target,pooled_oof_spearman,n_donors,condition
7,6e10/A_beta,0.2615571529816746,84.0,context_grn_aux
7,AT8,0.4396881644223955,84.0,context_grn_aux
7,GFAP,0.3115115925888428,84.0,context_grn_aux
7,Iba1,0.13374506429077657,84.0,context_grn_aux
7,NeuN,0.5118963247949783,84.0,context_grn_aux
11,6e10/A_beta,0.29456312645540145,84.0,context_grn_aux
11,AT8,0.3418446896831022,84.0,context_grn_aux
11,GFAP,0.3189025007593399,84.0,context_grn_aux
11,Iba1,0.14113597246127368,84.0,context_grn_aux
11,NeuN,0.5085754783841248,84.0,context_grn_aux
17,6e10/A_beta,0.31388073301609803,84.0,context_grn_aux
17,AT8,0.34714994431507545,84.0,context_grn_aux
17,GFAP,0.3256656879619318,84.0,context_grn_aux
17,Iba1,0.19139414802065405,84.0,context_grn_aux
17,NeuN,0.5028449934190544,84.0,context_grn_aux
23,6e10/A_beta,0.3082312443049509,84.0,context_grn_aux
23,AT8,0.45831730282474437,84.0,context_grn_aux
23,GFAP,0.22435962336741924,84.0,context_grn_aux
23,Iba1,0.12149438088488408,84.0,context_grn_aux
23,NeuN,0.5627822213222639,84.0,context_grn_aux
29,6e10/A_beta,0.2880429280145793,84.0,context_grn_aux
29,AT8,0.3295332590867672,84.0,context_grn_aux
29,GFAP,0.3038574465930951,84.0,context_grn_aux
29,Iba1,0.051007390908170504,84.0,context_grn_aux
29,NeuN,0.4982889541358712,84.0,context_grn_aux
7,6e10/A_beta,0.24315075427761462,84.0,no_graph_raw
7,AT8,0.4016604232054268,84.0,no_graph_raw
7,GFAP,0.3141642199048294,84.0,no_graph_raw
7,Iba1,0.16745975498633187,84.0,no_graph_raw
7,NeuN,0.4325402450136681,84.0,no_graph_raw
11,6e10/A_beta,0.2880429280145793,84.0,no_graph_raw
11,AT8,0.30715804394046775,84.0,no_graph_raw
11,GFAP,0.3204414295838818,84.0,no_graph_raw
11,Iba1,0.15917788802267896,84.0,no_graph_raw
11,NeuN,0.4104282676926192,84.0,no_graph_raw
17,6e10/A_beta,0.2960615571529817,84.0,no_graph_raw
17,AT8,0.45497620735041006,84.0,no_graph_raw
17,GFAP,0.31234180419155616,84.0,no_graph_raw
17,Iba1,0.2163004961020553,84.0,no_graph_raw
17,NeuN,0.38388174546927206,84.0,no_graph_raw
23,6e10/A_beta,0.29699301407309914,84.0,no_graph_raw
23,AT8,0.39252809557557966,84.0,no_graph_raw
23,GFAP,0.24270527488103677,84.0,no_graph_raw
23,Iba1,0.14834463906044348,84.0,no_graph_raw
23,NeuN,0.48794168269717525,84.0,no_graph_raw
29,6e10/A_beta,0.23258074314062976,84.0,no_graph_raw
29,AT8,0.43701528804292805,84.0,no_graph_raw
29,GFAP,0.30084033613445377,84.0,no_graph_raw
29,Iba1,0.1063480814012352,84.0,no_graph_raw
29,NeuN,0.4282676926192164,84.0,no_graph_raw
7,6e10/A_beta,0.24614761567277516,84.0,string_graph_aux
7,AT8,0.43367419256859374,84.0,string_graph_aux
7,GFAP,0.3074010327022375,84.0,string_graph_aux
7,Iba1,0.173655968411461,84.0,string_graph_aux
7,NeuN,0.5391313151766731,84.0,string_graph_aux
11,6e10/A_beta,0.2929634504404171,84.0,string_graph_aux
11,AT8,0.33898957173230737,84.0,string_graph_aux
11,GFAP,0.3140629745874253,84.0,string_graph_aux
11,Iba1,0.16320745165536094,84.0,string_graph_aux
11,NeuN,0.4931861901387061,84.0,string_graph_aux
17,6e10/A_beta,0.3054773716715602,84.0,string_graph_aux
17,AT8,0.40488002429887615,84.0,string_graph_aux
17,GFAP,0.30308798218082417,84.0,string_graph_aux
17,Iba1,0.19139414802065405,84.0,string_graph_aux
17,NeuN,0.49199149539333803,84.0,string_graph_aux
23,6e10/A_beta,0.2922952313455503,84.0,string_graph_aux
23,AT8,0.36419965576592084,84.0,string_graph_aux
23,GFAP,0.23980965880328037,84.0,string_graph_aux
23,Iba1,0.16276197225878303,84.0,string_graph_aux
23,NeuN,0.5506125341702947,84.0,string_graph_aux
29,6e10/A_beta,0.26180014174344435,84.0,string_graph_aux
29,AT8,0.42302318517768556,84.0,string_graph_aux
29,GFAP,0.30033410954743345,84.0,string_graph_aux
29,Iba1,0.23243899969626403,84.0,string_graph_aux
29,NeuN,0.46870507239040193,84.0,string_graph_aux
7,6e10/A_beta,0.2615571529816746,84.0,target_shuffled_grn_aux
7,AT8,0.4396881644223955,84.0,target_shuffled_grn_aux
7,GFAP,0.3115115925888428,84.0,target_shuffled_grn_aux
7,Iba1,0.13374506429077657,84.0,target_shuffled_grn_aux
7,NeuN,0.5118963247949783,84.0,target_shuffled_grn_aux
11,6e10/A_beta,0.29456312645540145,84.0,target_shuffled_grn_aux
11,AT8,0.3418446896831022,84.0,target_shuffled_grn_aux
11,GFAP,0.3189025007593399,84.0,target_shuffled_grn_aux
11,Iba1,0.14113597246127368,84.0,target_shuffled_grn_aux
11,NeuN,0.5085754783841248,84.0,target_shuffled_grn_aux
17,6e10/A_beta,0.31388073301609803,84.0,target_shuffled_grn_aux
17,AT8,0.34714994431507545,84.0,target_shuffled_grn_aux
17,GFAP,0.3256656879619318,84.0,target_shuffled_grn_aux
17,Iba1,0.19139414802065405,84.0,target_shuffled_grn_aux
17,NeuN,0.5028449934190544,84.0,target_shuffled_grn_aux
23,6e10/A_beta,0.3082312443049509,84.0,target_shuffled_grn_aux
23,AT8,0.45831730282474437,84.0,target_shuffled_grn_aux
23,GFAP,0.22435962336741924,84.0,target_shuffled_grn_aux
23,Iba1,0.12149438088488408,84.0,target_shuffled_grn_aux
23,NeuN,0.5627822213222639,84.0,target_shuffled_grn_aux
29,6e10/A_beta,0.2880429280145793,84.0,target_shuffled_grn_aux
29,AT8,0.3295332590867672,84.0,target_shuffled_grn_aux
29,GFAP,0.3038574465930951,84.0,target_shuffled_grn_aux
29,Iba1,0.051007390908170504,84.0,target_shuffled_grn_aux
29,NeuN,0.4982889541358712,84.0,target_shuffled_grn_aux
7,6e10/A_beta,0.2615571529816746,84.0,gene_label_permuted_grn_aux
7,AT8,0.4396881644223955,84.0,gene_label_permuted_grn_aux
