run_id,architecture_condition,target,target_alias,n_donors,pooled_oof_spearman,pooled_oof_pearson,r2,mae,rmse
v3_sea_ad_only_non_graph,expression_residual_only_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,84,0.04282676926192164,0.03434297949083063,-0.17255038772217413,2.1340641701526843,3.054559010055321
v3_sea_ad_only_non_graph,expression_residual_only_mlp,AT8,percent AT8 positive area_Grey matter,84,0.16572929902662,0.17016202436630784,-0.16506530739914949,1.093335538307348,1.5910024271940437
v3_sea_ad_only_non_graph,expression_residual_only_mlp,GFAP,percent GFAP positive area_Grey matter,84,0.14245216158752658,0.1702361324373334,-0.07410428368729094,3.4624553805831444,4.811907507583242
v3_sea_ad_only_non_graph,expression_residual_only_mlp,Iba1,percent Iba1 positive area_Grey matter,84,-0.07801964159157639,-0.1181272995752496,-0.22316412840536448,1.7039557370957732,2.3430311442558507
v3_sea_ad_only_non_graph,expression_residual_only_mlp,NeuN,percent NeuN positive area_Grey matter,84,0.46913030272349904,0.42256235144825594,0.13634912783856723,1.3606057220237862,1.7442311590501247
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,84,0.07739192062367116,0.003113168148261982,-0.1657843977087603,1.976804367475491,3.04573336969591
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,AT8,percent AT8 positive area_Grey matter,84,0.20213024465508092,0.31781992954860716,0.029442958693246757,1.0097874189932687,1.4521324798683637
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,GFAP,percent GFAP positive area_Grey matter,84,0.22423812898653436,0.10930309852242313,-0.10297747232482557,3.3925157768082137,4.876153490358069
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,Iba1,percent Iba1 positive area_Grey matter,84,-0.10073909081704971,-0.11796424844653655,-0.37423323288329513,1.8422245999649516,2.483510021275993
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,NeuN,percent NeuN positive area_Grey matter,84,0.4876176976814823,0.492706358467731,0.19895497491286074,1.3292578545158116,1.6798225088253889
v3_sea_ad_only_non_graph,module_only_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,84,0.14431507542776148,0.1170897787839563,-0.09430148709974362,1.9655191137463919,2.950878016157396
v3_sea_ad_only_non_graph,module_only_mlp,AT8,percent AT8 positive area_Grey matter,84,0.4369950389794472,0.574544736973465,0.21558213407062865,0.8884382231006709,1.3054776630113896
v3_sea_ad_only_non_graph,module_only_mlp,GFAP,percent GFAP positive area_Grey matter,84,0.1832540245013668,0.28682833890427667,0.02999928795794693,3.2147670064207383,4.572777531027077
v3_sea_ad_only_non_graph,module_only_mlp,Iba1,percent Iba1 positive area_Grey matter,84,-0.10104282676926192,-0.16290012242888097,-0.3038263689872609,1.7896043201405074,2.4190540572742276
v3_sea_ad_only_non_graph,module_only_mlp,NeuN,percent NeuN positive area_Grey matter,84,0.27781715095676823,0.14642524217507283,-0.38880085947227205,1.5948962702412028,2.2118461779049743
