candidate_id,target,fold_id,model,alpha,n_train,n_test,n_features
mri_engineered_only,6e10/A_beta,4,ridge,3000,67,17,150
mri_engineered_only,6e10/A_beta,5,ridge,3000,68,16,150
mri_engineered_only,GFAP,1,ridge,10000,67,17,150
mri_engineered_only,GFAP,2,ridge,100,67,17,150
mri_engineered_only,GFAP,3,ridge,10,67,17,150
mri_engineered_only,GFAP,4,ridge,30,67,17,150
mri_engineered_only,GFAP,5,ridge,3000,68,16,150
mri_engineered_only,Iba1,1,ridge,10,67,17,150
mri_engineered_only,Iba1,2,ridge,10000,67,17,150
mri_engineered_only,Iba1,3,ridge,10,67,17,150
mri_engineered_only,Iba1,4,ridge,10,67,17,150
mri_engineered_only,Iba1,5,ridge,10000,68,16,150
mri_engineered_only,NeuN,1,ridge,10000,67,17,150
mri_engineered_only,NeuN,2,ridge,10000,67,17,150
mri_engineered_only,NeuN,3,ridge,10000,67,17,150
mri_engineered_only,NeuN,4,ridge,1000,67,17,150
mri_engineered_only,NeuN,5,ridge,100,68,16,150
latent_plus_mri_engineered,AT8,1,ridge,1000,67,17,165
latent_plus_mri_engineered,AT8,2,ridge,10000,67,17,165
latent_plus_mri_engineered,AT8,3,ridge,10,67,17,165
latent_plus_mri_engineered,AT8,4,ridge,30,67,17,165
latent_plus_mri_engineered,AT8,5,ridge,10,68,16,165
latent_plus_mri_engineered,6e10/A_beta,1,ridge,100,67,17,165
latent_plus_mri_engineered,6e10/A_beta,2,ridge,10000,67,17,165
latent_plus_mri_engineered,6e10/A_beta,3,ridge,300,67,17,165
latent_plus_mri_engineered,6e10/A_beta,4,ridge,10000,67,17,165
latent_plus_mri_engineered,6e10/A_beta,5,ridge,10000,68,16,165
latent_plus_mri_engineered,GFAP,1,ridge,10000,67,17,165
latent_plus_mri_engineered,GFAP,2,ridge,100,67,17,165
latent_plus_mri_engineered,GFAP,3,ridge,10,67,17,165
latent_plus_mri_engineered,GFAP,4,ridge,30,67,17,165
latent_plus_mri_engineered,GFAP,5,ridge,1000,68,16,165
latent_plus_mri_engineered,Iba1,1,ridge,30,67,17,165
latent_plus_mri_engineered,Iba1,2,ridge,1000,67,17,165
latent_plus_mri_engineered,Iba1,3,ridge,10,67,17,165
latent_plus_mri_engineered,Iba1,4,ridge,10,67,17,165
latent_plus_mri_engineered,Iba1,5,ridge,3000,68,16,165
latent_plus_mri_engineered,NeuN,1,ridge,10000,67,17,165
latent_plus_mri_engineered,NeuN,2,ridge,1000,67,17,165
latent_plus_mri_engineered,NeuN,3,ridge,10000,67,17,165
latent_plus_mri_engineered,NeuN,4,ridge,3000,67,17,165
latent_plus_mri_engineered,NeuN,5,ridge,1000,68,16,165
latent_plus_safe_metadata_plus_mri_engineered,AT8,1,ridge,3000,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,AT8,2,ridge,10000,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,AT8,3,ridge,30,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,AT8,4,ridge,100,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,AT8,5,ridge,30,68,16,182
latent_plus_safe_metadata_plus_mri_engineered,6e10/A_beta,1,ridge,30,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,6e10/A_beta,2,ridge,3000,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,6e10/A_beta,3,ridge,300,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,6e10/A_beta,4,ridge,1000,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,6e10/A_beta,5,ridge,10000,68,16,182
latent_plus_safe_metadata_plus_mri_engineered,GFAP,1,ridge,10000,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,GFAP,2,ridge,100,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,GFAP,3,ridge,10000,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,GFAP,4,ridge,100,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,GFAP,5,ridge,300,68,16,182
latent_plus_safe_metadata_plus_mri_engineered,Iba1,1,ridge,10,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,Iba1,2,ridge,30,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,Iba1,3,ridge,10,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,Iba1,4,ridge,10,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,Iba1,5,ridge,3000,68,16,182
latent_plus_safe_metadata_plus_mri_engineered,NeuN,1,ridge,10000,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,NeuN,2,ridge,1000,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,NeuN,3,ridge,3000,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,NeuN,4,ridge,10000,67,17,182
latent_plus_safe_metadata_plus_mri_engineered,NeuN,5,ridge,1000,68,16,182
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,AT8,1,ridge,3000,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,AT8,2,ridge,10000,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,AT8,3,ridge,100,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,AT8,4,ridge,300,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,AT8,5,ridge,10,68,16,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,6e10/A_beta,1,ridge,30,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,6e10/A_beta,2,ridge,1000,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,6e10/A_beta,3,ridge,3000,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,6e10/A_beta,4,ridge,10,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,6e10/A_beta,5,ridge,3000,68,16,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,GFAP,1,ridge,1000,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,GFAP,2,ridge,300,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,GFAP,3,ridge,3000,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,GFAP,4,ridge,30,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,GFAP,5,ridge,10,68,16,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,Iba1,1,ridge,30,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,Iba1,2,ridge,1000,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,Iba1,3,ridge,10,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,Iba1,4,ridge,1000,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,Iba1,5,ridge,10,68,16,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,NeuN,1,ridge,10000,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,NeuN,2,ridge,10000,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,NeuN,3,ridge,10000,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,NeuN,4,ridge,1000,67,17,206
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,NeuN,5,ridge,1000,68,16,206
