name,bytes,sha256,scope_role,github_handling
FOUNDATION_CALIBRATION_BUNDLE_20260824.zip,410278055,07748d5bd21fe0857ccad3002fba3946d1791d25898b841d41056a3707117444,CURRENT_AUTHORITY_INPUT_PLUS_HISTORICAL_SUPPORT,REFERENCE_BY_SHA_HEAVY
FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip.part001,303979881,b8163f53a27f7cb1b526f8311d1b46b599502596c5d0be74fa588747a4e72b2e,HISTORICAL_SUPPORTING_ONLY,REFERENCE_BY_SHA_HEAVY
FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip.part002,303979880,5bc2ec30fb374b15f1c5a4764e1856b0664c13513462ef2f7e224c4b6f856875,HISTORICAL_SUPPORTING_ONLY,REFERENCE_BY_SHA_HEAVY
FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip.parts.sha256.csv,437,fd003bc8f2f34ac856791dfcf6b0e3b7d81eddfffb8b256d23c3e4a5d40f3356,HISTORICAL_SUPPORTING_ONLY,COMPACT_REFERENCE
checkpoints.zip,71356460,ab2885f98793fdb11b695371e981ca34677af83d2d196f33ff33fdf98686ef4c,HISTORICAL_SUPPORTING_ONLY,REFERENCE_BY_SHA_HEAVY
t1_checkpoint_u0200.zip,233729581,0ec44d004b34d77ccc10445210fedafe5302b6482e509f9ed5752a5691c83a1c,HISTORICAL_SUPPORTING_ONLY,REFERENCE_BY_SHA_HEAVY
expression.zip,3599456,1098fd4c3fac7a991f2d51ac86ecd0a7ae94be9373e5cc30b9d81be392d32fd4,HISTORICAL_SUPPORTING_ONLY,REFERENCE_BY_SHA
66e64913-959f-4a7c-bbfe-6ff906fb281d.npz,1531109,001375ec77c5b606ad0972073c1daa6ad14b0e517f05ea23c6c9b3110203ff70,QUARANTINED_PROVENANCE_MISMATCH,NEVER_CURRENT_AUTHORITY
historical50k_source_sparsity_aggregate_safe.csv,376,94fa108d385549cdc10a521dc8c95efbc314b2aab95f9cbe7454563554295782e,HISTORICAL_SUPPORTING_ONLY,COMMIT_COMPACT
historical_t1_gene_identity_decay_adjusted.csv,2192703,b87be2ac9ca0a17026deecc3b2e53b968a45d69dcb31a850534341778be68969,HISTORICAL_SUPPORTING_ONLY,REFERENCE_BY_SHA
historical_t1_identity_drift_by_support_pattern.csv,1993,b91e59eb9564ae0b82ab483d8e697d0087ae5ebc97541adaaa29cbcfa01ea595,HISTORICAL_SUPPORTING_ONLY,COMMIT_COMPACT
JEPA_LOCAL_PARALLEL_AUDIT_20260920.md,8761,e3b5a4af948b884e94711b745568ff663a8c36d008060d3a4a77292f94a9e912,HISTORICAL_SUPPORTING_ONLY,COMMIT_COMPACT
Status and Repair Plan.txt,5233,cb2befc374e4b594fb6d04bbb7c30a0ca702913ddc9d568fbfbf8ebca7bb7c56,HISTORICAL_HANDOFF_CONTEXT,REFERENCE_BY_SHA
WSL execution issue.txt,14576,cd1c50bbec4c80b9b35f1824bba9112c7dbb357ede586b0a46e98532f57e474e,HISTORICAL_DESIGN_CONTEXT,REFERENCE_BY_SHA
